IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.196.132,443,443,true,FRA,Europe,Frankfurt,189,5.11
34.118.110.163,443,443,true,FRA,Europe,Frankfurt,293,5.11
34.116.137.3,443,443,true,FRA,Europe,Frankfurt,325,5.10
34.116.217.100,443,443,true,FRA,Europe,Frankfurt,331,5.07
34.159.21.226,443,443,true,FRA,Europe,Frankfurt,318,5.07
34.32.145.60,443,443,true,FRA,Europe,Frankfurt,204,5.06
34.141.208.110,443,443,true,FRA,Europe,Frankfurt,206,5.05
34.116.222.152,443,443,true,FRA,Europe,Frankfurt,249,5.04
34.89.239.146,443,443,true,FRA,Europe,Frankfurt,213,5.03
34.118.80.178,443,443,true,FRA,Europe,Frankfurt,303,5.01
34.118.126.46,443,443,true,FRA,Europe,Frankfurt,298,4.99
34.116.216.251,443,443,true,FRA,Europe,Frankfurt,267,4.99
34.141.242.242,443,443,true,FRA,Europe,Frankfurt,219,4.98
34.118.122.67,443,443,true,FRA,Europe,Frankfurt,284,4.98
34.107.73.97,443,443,true,FRA,Europe,Frankfurt,261,4.97
34.118.20.131,443,443,true,FRA,Europe,Frankfurt,308,4.97
34.116.222.152,443,443,true,FRA,Europe,Frankfurt,269,4.95
34.65.8.62,443,443,true,FRA,Europe,Frankfurt,277,4.95
34.159.126.198,443,443,true,FRA,Europe,Frankfurt,184,4.94
34.89.209.134,443,443,true,FRA,Europe,Frankfurt,262,4.93
34.65.8.62,443,443,true,FRA,Europe,Frankfurt,252,4.92
34.116.207.43,443,443,true,FRA,Europe,Frankfurt,323,4.91
34.118.87.123,443,443,true,FRA,Europe,Frankfurt,323,4.89
34.65.20.187,443,443,true,FRA,Europe,Frankfurt,191,4.87
34.118.50.141,443,443,true,FRA,Europe,Frankfurt,310,4.86
35.198.120.88,443,443,true,FRA,Europe,Frankfurt,261,4.85
34.116.149.184,443,443,true,FRA,Europe,Frankfurt,284,4.85
34.116.149.54,443,443,true,FRA,Europe,Frankfurt,268,4.84
34.118.99.171,443,443,true,FRA,Europe,Frankfurt,356,4.84
34.154.228.44,443,443,true,FRA,Europe,Frankfurt,256,4.83
34.91.27.34,443,443,true,FRA,Europe,Frankfurt,269,4.83
34.147.30.126,443,443,true,FRA,Europe,Frankfurt,266,4.82
34.154.91.17,443,443,true,FRA,Europe,Frankfurt,220,4.82
34.65.143.76,443,443,true,FRA,Europe,Frankfurt,201,4.81
34.116.240.209,443,443,true,FRA,Europe,Frankfurt,222,4.80
34.65.184.103,443,443,true,FRA,Europe,Frankfurt,196,4.80
34.118.102.129,443,443,true,FRA,Europe,Frankfurt,222,4.80
34.116.245.32,443,443,true,FRA,Europe,Frankfurt,217,4.77
34.154.187.191,443,443,true,FRA,Europe,Frankfurt,257,4.77
34.65.113.46,443,443,true,FRA,Europe,Frankfurt,279,4.77
34.116.233.124,443,443,true,FRA,Europe,Frankfurt,270,4.75
34.116.178.230,443,443,true,FRA,Europe,Frankfurt,214,4.75
34.116.249.21,443,443,true,FRA,Europe,Frankfurt,283,4.74
34.116.211.3,443,443,true,FRA,Europe,Frankfurt,315,4.73
34.32.181.239,443,443,true,FRA,Europe,Frankfurt,266,4.73
34.116.134.144,443,443,true,FRA,Europe,Frankfurt,281,4.73
35.204.225.94,443,443,true,FRA,Europe,Frankfurt,191,4.72
34.65.122.120,443,443,true,FRA,Europe,Frankfurt,193,4.72
34.116.143.230,443,443,true,FRA,Europe,Frankfurt,281,4.71
34.34.50.184,443,443,true,FRA,Europe,Frankfurt,191,4.69
34.116.186.105,443,443,true,FRA,Europe,Frankfurt,313,4.68
34.116.217.100,443,443,true,FRA,Europe,Frankfurt,213,4.68
34.65.45.164,443,443,true,FRA,Europe,Frankfurt,196,4.68
34.116.235.211,443,443,true,FRA,Europe,Frankfurt,269,4.64
34.116.152.220,443,443,true,FRA,Europe,Frankfurt,272,4.64
